0	0	0	0	0
2	0	0	0	22.44e6
4	0	0	0	87.69e6
6	0	0	6.23e6	234.01e6
8	0	0	42.8e6	447.02e6
10	0	2.02e6	109.36e6	728.02e6
12	0	6.61e6	214.72e6	1130.22e6
14	0	40.46e6	426.09e6	1507.25e6
16	0	111.02e6	729.69e6	0
18	1.51e6	242.65e6	1110.62e6	0
20	16.42e6	471.58e6	1376.525e6	0
22	30.19e6	778.38e6	0	0
24	61.59e6	1170.88e6	0	0
26	114.06e6	1269.95e6	0	0
28	189.44e6	0	0	0
30	315.65e6	0	0	0
32	471.66e6	0	0	0


