0	0	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	0	2
4	0	0	0	0	0	0	0	0	3
6	0	0	0	0	0	0	0	0	4
8	48333333	39266667	0	0	6974822	3841836	0	0	5
10	92166667	128000000	5666667	5666667	5988028	10088879	2538591	2538591	6
12	198000000	211000000	53333333	53333333	5908641	6675239	9666667	9666667	7
14	493000000	217000000	38714286	189000000	40072677	8803131	4628471	23864898	8
16	861000000	199000000	34266667	531000000	59657083	8364369	5428730	44702535	9
18	1350000000	154000000	17928571	978000000	63223040	8321966	4929570	40345728	10
20	0	86200000	14800000	0	0	10167137	5727295	0	11
22	0	30200000	9500000	0	0	8651371	5251579	0	12
24	0	3533333	6733333	0	0	2798200	3639030	0	13
26	0	0	3642857	0	0	0	2427746	0	14
28	0	0	0	0	0	0	0	0	15
30	0	0	0	0	0	0	0	0	16
32	0	0	0	0	0	0	0	0	17
34	0	0	0	0	0	0	0	0	18
36	0	0	0	0	0	0	0	0	19

