0	0	0	0
2	0	0	0
4	0	0	0
6	0	0	0
8	20883333	17900000	16241667
10	70400000	68058333	64083333
12	224000000	194000000	202000000
14	450000000	442000000	481000000
16	591000000	478000000	439000000
18	697000000	498000000	452000000
20	940000000	596000000	439000000
22	1180000000	642000000	458000000
24	1460000000	878000000	542000000
