0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
6	1233333	0	0	0	1446212	0	0	0
8	33675000	27100000	11966667	14066667	5348931	8554058	5053908	1867092
10	78400000	73491667	75450000	70258333	5345091	5034038	4869328	1755947
12	202000000	203000000	210000000	219000000	10569349	12943566	9882241	5527601
14	482000000	459000000	496000000	470000000	39283193	37304141	33411088	12429064
16	732000000	818000000	799000000	771000000	34591312	28845056	44907599	16633599
18	1350000000	1180000000	1200000000	1130000000	78919997	46482086	38019786	13276440
20	1670000000	1590000000	1640000000	1610000000	35247064	46174740	41748113	17919569
