0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
6	0	0	2108333	0	0	0	2211239	0
8	32666667	30708333	25916667	37475000	7504322	7514609	11186635	8303660
10	91208333	109000000	103000000	70691667	10662132	12985803	17699974	5063055
12	228000000	241000000	232000000	221000000	17448741	20742732	25482607	6490498
14	481000000	205000000	247000000	204000000	53557714	13556401	32033894	13721667
16	878000000	188000000	177000000	210000000	60157271	18945802	30325947	9847345
18	1290000000	131000000	85608333	107000000	84297739	15361321	24904593	6278905
20	1590000000	107000000	19933333	44258333	38719992	22685812	14127870	11215428
22	0	96958333	6275000	7166667	0	27579083	6581276	6083970
24	0	121000000	0	0	0	51332247	0	0
