0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
6	0	2200000	0	0	0	1867071	0	0
8	35400000	43841667	23766667	27933333	8763479	3084936	6547933	9815359
10	72083333	84758333	77483333	83825000	11298618	4226181	17498343	7363684
12	207000000	217000000	201000000	218000000	17108860	5637664	22842759	13852800
14	501000000	398000000	422000000	266000000	54863929	12643844	44928238	22487062
16	818000000	768000000	715000000	470000000	68920478	19391054	63446076	39212905
18	1230000000	1220000000	1050000000	805000000	78434725	20833747	111000000	50183595
20	1740000000	0	1270000000	1220000000	34999510	0	108000000	49386608
22	0	0	1520000000	0	0	0	84618030	0
24	0	0	1560000000	0	0	0	38333333	0
